iter	Passed	Remaining
402	11333	16789
403	11361	16760
404	11389	16732
405	11415	16701
406	11445	16676
407	11477	16652
408	11502	16620
409	11530	16593
410	11559	16565
411	11591	16542
412	11619	16515
413	11646	16485
414	11675	16458
415	11705	16432
416	11736	16408
417	11765	16382
418	11795	16356
419	11824	16329
420	11849	16296
421	11876	16266
422	11902	16235
423	11928	16204
424	11954	16173
425	11979	16141
426	12006	16112
427	12032	16081
428	12059	16050
429	12084	16019
430	12111	15989
431	12136	15957
432	12162	15925
433	12190	15898
434	12217	15868
435	12246	15842
436	12273	15812
437	12299	15781
438	12323	15748
439	12351	15720
440	12377	15689
441	12403	15658
442	12428	15627
443	12455	15597
444	12481	15566
445	12508	15538
446	12534	15506
447	12562	15478
448	12586	15446
449	12611	15414
450	12641	15388
451	12666	15356
452	12698	15333
453	12735	15316
454	12762	15286
455	12786	15253
456	12822	15235
457	12849	15205
458	12878	15179
459	12906	15151
460	12934	15123
461	12961	15094
462	12994	15071
463	13024	15045
464	13059	15024
465	13090	15001
466	13120	14975
467	13148	14946
468	13175	14917
469	13204	14890
470	13232	14861
471	13259	14833
472	13288	14805
473	13315	14775
474	13344	14748
475	13378	14727
476	13405	14698
477	13436	14673
478	13465	14646
479	13494	14618
480	13522	14590
481	13550	14562
482	13577	14533
483	13607	14507
484	13633	14476
485	13661	14448
486	13691	14422
487	13724	14399
488	13756	14375
489	13789	14352
490	13823	14330
491	13850	14301
492	13875	14269
493	13900	14237
494	13926	14207
495	13952	14178
496	13980	14149
497	14011	14124
498	14040	14096
499	14066	14066
500	14093	14036
501	14118	14005
502	14143	13974
503	14169	13944
504	14194	13913
505	14222	13885
506	14247	13854
507	14272	13822
508	14298	13792
509	14327	13765
510	14353	13735
511	14380	13706
512	14404	13674
513	14429	13643
514	14452	13610
515	14483	13585
516	14513	13558
517	14539	13529
518	14565	13498
519	14590	13468
520	14617	13438
521	14642	13408
522	14670	13379
523	14699	13352
524	14730	13327
525	14762	13302
526	14789	13273
527	14815	13244
528	14848	13220
529	14877	13193
530	14904	13164
531	14935	13138
532	14961	13108
533	14991	13082
534	15020	13054
535	15048	13027
536	15079	13001
537	15107	12973
538	15138	12947
539	15168	12920
540	15198	12894
541	15233	12872
542	15261	12844
543	15289	12815
544	15318	12789
545	15349	12763
546	15377	12734
547	15432	12729
548	15462	12701
549	15488	12672
550	15517	12645
551	15544	12616
552	15575	12590
553	15603	12561
554	15636	12537
555	15666	12510
556	15697	12484
557	15728	12458
558	15763	12436
559	15790	12406
560	15815	12375
561	15840	12345
562	15866	12315
563	15893	12286
564	15919	12256
565	15946	12227
566	15974	12198
567	16000	12169
568	16025	12138
569	16056	12112
570	16085	12085
571	16115	12058
572	16149	12034
573	16179	12007
574	16207	11979
575	16232	11949
576	16258	11919
577	16286	11890
578	16318	11865
579	16346	11837
580	16377	11810
581	16406	11783
582	16435	11755
583	16467	11730
584	16494	11700
585	16522	11672
586	16549	11643
587	16579	11617
588	16615	11593
589	16645	11567
590	16679	11542
591	16708	11515
592	16739	11489
593	16771	11463
594	16803	11437
595	16832	11409
596	16863	11383
597	16898	11360
598	16928	11332
599	16961	11307
600	16994	11282
601	17024	11255
602	17052	11227
603	17087	11202
604	17117	11176
605	17148	11149
606	17180	11123
607	17212	11097
608	17244	11071
609	17271	11042
610	17303	11016
611	17329	10986
612	17360	10960
613	17387	10930
614	17419	10904
615	17450	10878
616	17481	10851
617	17513	10825
618	17544	10799
619	17574	10771
620	17605	10744
621	17637	10718
622	17677	10697
623	17709	10670
624	17739	10643
625	17769	10616
626	17802	10590
627	17831	10562
628	17858	10533
629	17886	10504
630	17911	10474
631	17935	10443
632	17962	10414
633	17992	10386
634	18025	10360
635	18057	10334
636	18090	10309
637	18121	10282
638	18149	10253
639	18176	10224
640	18202	10194
641	18230	10165
642	18256	10135
643	18285	10107
644	18314	10080
645	18344	10052
646	18378	10027
647	18409	10000
648	18437	9971
649	18469	9944
650	18495	9915
651	18520	9885
652	18546	9855
653	18574	9826
654	18604	9799
655	18635	9772
656	18672	9748
657	18703	9721
658	18738	9696
659	18772	9670
660	18801	9642
661	18828	9613
662	18860	9586
663	18885	9556
664	18918	9530
665	18953	9505
666	18984	9478
667	19019	9452
668	19050	9425
669	19080	9397
670	19108	9369
671	19139	9341
672	19165	9312
673	19196	9285
674	19226	9257
675	19256	9229
676	19289	9203
677	19317	9174
678	19348	9147
679	19380	9120
680	19408	9091
681	19438	9063
682	19467	9035
683	19495	9006
684	19525	8978
685	19557	8951
686	19587	8924
687	19623	8898
688	19659	8873
689	19689	8845
690	19720	8818
691	19750	8790
692	19781	8763
693	19810	8734
694	19840	8706
695	19871	8679
696	19901	8651
697	19931	8623
698	19957	8593
699	19987	8566
700	20014	8537
701	20042	8508
702	20072	8480
703	20102	8452
704	20131	8423
705	20165	8397
706	20197	8370
707	20221	8340
708	20251	8311
709	20281	8283
710	20315	8257
711	20349	8231
712	20378	8202
713	20410	8175
714	20439	8147
715	20469	8119
716	20495	8089
717	20521	8060
718	20552	8032
719	20582	8004
720	20617	7978
721	20656	7953
722	20688	7926
723	20719	7898
724	20749	7870
725	20778	7841
726	20811	7815
727	20851	7790
728	20891	7766
729	20928	7740
730	20960	7713
731	20992	7685
732	21018	7656
733	21051	7628
734	21079	7600
735	21110	7572
736	21139	7543
737	21168	7515
738	21201	7487
739	21228	7458
740	21259	7430
741	21288	7402
742	21319	7374
743	21347	7345
744	21377	7317
745	21408	7289
746	21437	7260
747	21462	7230
748	21492	7202
749	21523	7174
750	21554	7146
751	21583	7117
752	21619	7091
753	21656	7065
754	21690	7038
755	21717	7009
756	21743	6979
757	21772	6951
758	21797	6921
759	21821	6890
760	21850	6862
761	21878	6833
762	21902	6803
763	21929	6773
764	21956	6744
765	21986	6716
766	22014	6687
767	22041	6658
768	22067	6628
769	22094	6599
770	22118	6569
771	22143	6539
772	22171	6510
773	22198	6481
774	22228	6453
775	22253	6423
776	22280	6394
777	22306	6364
778	22329	6334
779	22355	6305
780	22384	6276
781	22411	6247
782	22442	6219
783	22468	6190
784	22494	6161
785	22521	6131
786	22551	6103
787	22585	6076
788	22611	6046
789	22640	6018
790	22669	5989
791	22698	5961
792	22730	5933
793	22757	5904
794	22787	5875
795	22816	5847
796	22845	5818
797	22875	5790
798	22909	5763
799	22939	5734
800	22969	5706
801	22998	5677
802	23025	5648
803	23054	5620
804	23082	5591
805	23110	5562
806	23141	5534
807	23168	5505
808	23197	5476
809	23225	5447
810	23257	5420
811	23283	5390
812	23314	5362
813	23341	5333
814	23371	5305
815	23398	5276
816	23425	5247
817	23452	5218
818	23482	5189
819	23512	5161
820	23543	5133
821	23575	5105
822	23606	5077
823	23635	5048
824	23665	5019
825	23694	4991
826	23722	4962
827	23753	4934
828	23782	4905
829	23810	4876
830	23835	4847
831	23862	4818
832	23887	4789
833	23918	4760
834	23948	4732
835	23975	4703
836	24002	4674
837	24029	4645
838	24059	4616
839	24088	4588
840	24114	4559
841	24145	4530
842	24170	4501
843	24195	4472
844	24223	4443
845	24250	4414
846	24275	4385
847	24303	4356
848	24330	4327
849	24357	4298
850	24386	4269
851	24411	4240
852	24439	4211
853	24465	4182
854	24492	4153
855	24522	4125
856	24553	4096
857	24587	4069
858	24617	4040
859	24643	4011
860	24670	3982
861	24704	3954
862	24735	3926
863	24764	3898
864	24792	3869
865	24821	3840
866	24852	3812
867	24881	3783
868	24907	3754
869	24939	3726
870	24970	3698
871	24997	3669
872	25025	3640
873	25056	3612
874	25085	3583
875	25115	3555
876	25142	3526
877	25173	3497
878	25203	3469
879	25230	3440
880	25261	3412
881	25293	3383
882	25323	3355
883	25354	3327
884	25385	3298
885	25419	3270
886	25447	3241
887	25475	3213
888	25504	3184
889	25536	3156
890	25571	3128
891	25600	3099
892	25631	3071
893	25662	3042
894	25689	3013
895	25717	2985
896	25743	2956
897	25768	2926
898	25796	2898
899	25823	2869
900	25851	2840
901	25877	2811
902	25909	2783
903	25938	2754
904	25964	2725
905	25989	2696
906	26013	2667
907	26040	2638
908	26066	2609
909	26096	2580
910	26124	2552
911	26149	2523
912	26175	2494
913	26203	2465
914	26229	2436
915	26255	2407
916	26282	2378
917	26309	2350
918	26335	2321
919	26361	2292
920	26389	2263
921	26445	2237
922	26469	2208
923	26493	2179
924	26523	2150
925	26553	2121
926	26580	2093
927	26609	2064
928	26635	2035
929	26663	2006
930	26694	1978
931	26724	1949
932	26750	1920
933	26783	1892
934	26812	1863
935	26841	1835
936	26874	1806
937	26901	1778
938	26929	1749
939	26962	1721
940	26993	1692
941	27022	1663
942	27056	1635
943	27084	1606
944	27116	1578
945	27144	1549
946	27173	1520
947	27201	1492
948	27227	1463
949	27254	1434
950	27281	1405
951	27309	1376
952	27339	1348
953	27369	1319
954	27398	1291
955	27433	1262
956	27461	1233
957	27492	1205
958	27520	1176
959	27552	1148
960	27584	1119
961	27615	1090
962	27643	1062
963	27669	1033
964	27697	1004
965	27723	975
966	27749	946
967	27781	918
968	27814	889
969	27841	861
970	27866	832
971	27892	803
972	27919	774
973	27945	745
974	27972	717
975	28002	688
976	28029	659
977	28056	631
978	28082	602
979	28110	573
980	28136	544
981	28163	516
982	28189	487
983	28218	458
984	28244	430
985	28274	401
986	28300	372
987	28328	344
988	28354	315
989	28379	286
990	28407	257
991	28433	229
992	28461	200
993	28490	171
994	28515	143
995	28545	114
996	28574	85
997	28602	57
998	28629	28
999	28656	0
