iter	RMSE
310	158.3976707
311	158.3351444
312	158.2999577
313	158.2551376
314	158.2271276
315	158.1829207
316	158.1518918
317	158.1254439
318	158.0776514
319	158.0503427
320	158.0008761
321	157.9656579
322	157.9203398
323	157.8470833
324	157.7713228
325	157.687469
326	157.6353269
327	157.6073753
328	157.5703196
329	157.5297019
330	157.4947046
331	157.4513054
332	157.4076596
333	157.3670948
334	157.327481
335	157.2712656
336	157.2275564
337	157.1953063
338	157.1481848
339	157.1074082
340	157.0599388
341	157.0147073
342	156.9812425
343	156.9479552
344	156.9011603
345	156.8802145
346	156.8385216
347	156.8050774
348	156.7746779
349	156.7406577
350	156.7104583
351	156.6855802
352	156.6296355
353	156.5956684
354	156.5717201
355	156.555094
356	156.5280347
357	156.4928222
358	156.4508266
359	156.4158218
360	156.366171
361	156.339306
362	156.314198
363	156.2899387
364	156.2672715
365	156.2047457
366	156.1840875
367	156.133778
368	156.0997337
369	156.0420475
370	155.990106
371	155.956803
372	155.9151665
373	155.8918708
374	155.8612178
375	155.8254968
376	155.7984664
377	155.7746712
378	155.741951
379	155.7200541
380	155.6932497
381	155.6645629
382	155.6216708
383	155.572133
384	155.5394543
385	155.5054113
386	155.4688023
387	155.4381713
388	155.409239
389	155.3530652
390	155.3074315
391	155.277827
392	155.2339923
393	155.2117149
394	155.1688287
395	155.1362373
396	155.0824162
397	155.0599073
398	155.0178164
399	154.9812408
400	154.9479561
401	154.91182
402	154.8883454
403	154.8600618
404	154.8272354
405	154.7977286
406	154.7669978
407	154.729896
408	154.7084006
409	154.6629819
410	154.6239673
411	154.588039
412	154.5669928
413	154.5458372
414	154.4964064
415	154.4615703
416	154.414887
417	154.3838684
418	154.3626336
419	154.3332665
420	154.2994762
421	154.2368762
422	154.2097698
423	154.1933789
424	154.1366008
425	154.1135675
426	154.0923032
427	154.0546344
428	154.0114346
429	153.9897673
430	153.966661
431	153.9456653
432	153.927761
433	153.9032997
434	153.8726342
435	153.833029
436	153.8044863
437	153.75494
438	153.7410712
439	153.7003127
440	153.676652
441	153.6531041
442	153.6327181
443	153.6087705
444	153.5695627
445	153.5454037
446	153.5203998
447	153.4960503
448	153.475133
449	153.455835
450	153.4159155
451	153.398535
452	153.3518086
453	153.3242568
454	153.3017708
455	153.2764508
456	153.2415109
457	153.2116403
458	153.1738825
459	153.1487924
460	153.1297401
461	153.1052626
462	153.0570179
463	153.0258073
464	152.9670044
465	152.9259233
466	152.8868504
467	152.8650538
468	152.8428198
469	152.8048203
470	152.7861383
471	152.7711038
472	152.7191571
473	152.6892337
474	152.6536223
475	152.6114673
476	152.5895972
477	152.5627117
478	152.5318716
479	152.5119473
480	152.4753696
481	152.4501894
482	152.4303872
483	152.3804608
484	152.3631124
485	152.3345339
486	152.3084832
487	152.2729487
488	152.203802
489	152.1812637
490	152.1326638
491	152.1080962
492	152.0777291
493	152.0371416
494	152.01885
495	151.9938548
496	151.9668143
497	151.9326531
498	151.8906203
499	151.8739487
500	151.8482506
501	151.8143339
502	151.7917933
503	151.7757935
504	151.7614595
505	151.7400421
506	151.7149417
507	151.6862967
508	151.6456191
509	151.6103386
510	151.5877424
511	151.5403866
512	151.526583
513	151.5023216
514	151.4835538
515	151.464449
516	151.4386419
517	151.4170527
518	151.3873691
519	151.3585074
520	151.3328515
521	151.3049935
522	151.2859716
523	151.2684085
524	151.2226872
525	151.1727726
526	151.1578163
527	151.1402233
528	151.1092702
529	151.0882469
530	151.0633347
531	151.0403198
532	151.0196061
533	150.9878083
534	150.9697506
535	150.9454777
536	150.8637913
537	150.8434789
538	150.8178575
539	150.7902867
540	150.7693555
541	150.7558463
542	150.7244383
543	150.6995773
544	150.6788891
545	150.6452013
546	150.617906
547	150.6026255
548	150.5810069
549	150.5598944
550	150.5346077
551	150.5118511
552	150.4873506
553	150.4470167
554	150.402936
555	150.3824919
556	150.3418064
557	150.3225873
558	150.2947481
559	150.2628027
560	150.247669
561	150.2276682
562	150.2119292
563	150.1958286
564	150.1803581
565	150.1578462
566	150.1213563
567	150.0913459
568	150.0686525
569	150.0482676
570	150.0258013
571	149.9979642
572	149.9414171
573	149.9277258
574	149.9065066
575	149.8836601
576	149.8628295
577	149.8264888
578	149.8097232
579	149.7935198
580	149.7733794
581	149.7591943
582	149.7379545
583	149.7129374
584	149.6890989
585	149.6642892
586	149.6451047
587	149.6041514
588	149.5700464
589	149.5516718
590	149.5220129
591	149.5057829
592	149.4739348
593	149.4479472
594	149.4181889
595	149.3994071
596	149.385023
597	149.3553331
598	149.3374117
599	149.324667
600	149.3036784
601	149.2699743
602	149.2410809
603	149.2090841
604	149.1877827
605	149.1488311
606	149.1064765
607	149.0644086
608	149.0366894
609	149.0131144
610	148.986772
611	148.9761525
612	148.9486917
613	148.9193845
614	148.8705529
615	148.8500637
616	148.8288401
617	148.8123584
618	148.7820608
619	148.7685678
620	148.742243
621	148.7167944
622	148.6918055
623	148.6764493
624	148.6599842
625	148.6434537
626	148.6114746
627	148.5945633
628	148.5801078
629	148.5633405
630	148.5272066
631	148.5169927
632	148.5077069
633	148.491103
634	148.4678913
635	148.4453587
636	148.4239526
637	148.3956854
638	148.3751535
639	148.327052
640	148.3034643
641	148.2885083
642	148.2727478
643	148.2273679
644	148.2066587
645	148.1924475
646	148.1789134
647	148.16174
648	148.1498506
649	148.1288475
650	148.1123925
651	148.095782
652	148.082851
653	148.0715503
654	148.056845
655	148.0399385
656	148.0158733
657	147.9970332
658	147.9734815
659	147.9442196
660	147.9110325
661	147.8933908
662	147.8551079
663	147.8477097
664	147.8277708
665	147.7794995
666	147.7687264
667	147.7425677
668	147.724352
669	147.6960128
670	147.6831209
671	147.6516686
672	147.6342325
673	147.6088024
674	147.590384
675	147.57815
676	147.5648742
677	147.5353032
678	147.5099423
679	147.4983618
680	147.4871446
681	147.4692659
682	147.4538275
683	147.4364229
684	147.4236513
685	147.4121462
686	147.3954554
687	147.3655951
688	147.3260972
689	147.2921769
690	147.2770106
691	147.2528277
692	147.2370903
693	147.2254385
694	147.2138896
695	147.1983477
696	147.171225
697	147.1556696
698	147.1320465
699	147.1047064
700	147.0796794
701	147.0588056
702	147.045112
703	147.0299943
704	147.0110317
705	146.9955176
706	146.9711001
707	146.9569018
708	146.9424821
709	146.9283502
710	146.9076707
711	146.8922639
712	146.8777826
713	146.8581515
714	146.8287302
715	146.7983589
716	146.783353
717	146.7708257
718	146.7494196
719	146.7268209
720	146.6963226
721	146.6569509
722	146.6416106
723	146.6243479
724	146.6025771
725	146.5801337
726	146.5611075
727	146.5395059
728	146.5115217
729	146.4814289
730	146.4648398
731	146.4338831
732	146.4245593
733	146.4018439
734	146.3877222
735	146.3691035
736	146.3525833
737	146.332165
738	146.316211
739	146.2969336
740	146.2720072
741	146.2482103
742	146.2336095
743	146.2168903
744	146.2004533
745	146.1813451
746	146.1639039
747	146.1506592
748	146.1353455
749	146.108324
750	146.0922997
751	146.0784391
752	146.0544083
753	146.0408589
754	146.0102168
755	145.9929118
756	145.979745
757	145.9568921
758	145.9367818
759	145.9152707
760	145.9035948
761	145.8850814
762	145.8721555
763	145.8547855
764	145.8282772
765	145.7968773
766	145.7824709
767	145.770736
768	145.7561954
769	145.7261263
770	145.7099109
771	145.6911278
772	145.6798753
773	145.6638304
774	145.6399668
775	145.6309394
776	145.6123232
777	145.5874911
778	145.5746303
779	145.564468
780	145.5377614
781	145.5199503
782	145.4929097
783	145.4831968
784	145.4623291
785	145.4468961
786	145.4309056
787	145.4157311
788	145.4061156
789	145.390779
790	145.3741779
791	145.3607342
792	145.3057122
793	145.2891457
794	145.2602651
795	145.2368848
796	145.2178889
797	145.2015444
798	145.180412
799	145.1693475
800	145.136878
801	145.1172406
802	145.1047105
803	145.0865927
804	145.0755576
805	145.0631754
806	145.0428387
807	145.0303501
808	145.0117823
809	144.9997415
810	144.9818851
811	144.9701511
812	144.9489121
813	144.9421595
814	144.9208952
815	144.9036055
816	144.8941316
817	144.8822102
818	144.8688489
819	144.852586
820	144.8395906
821	144.8211224
822	144.8012894
823	144.7862888
824	144.7647767
825	144.746529
826	144.7346138
827	144.7140042
828	144.6881666
829	144.6715671
830	144.6585468
831	144.6294223
832	144.6173767
833	144.5983944
834	144.579754
835	144.5572362
836	144.5468523
837	144.5332368
838	144.5144007
839	144.4747464
840	144.4478739
841	144.4263863
842	144.416323
843	144.4067521
844	144.3871068
845	144.3700772
846	144.3483198
847	144.3226855
848	144.309426
849	144.2768626
850	144.2637233
851	144.2425441
852	144.2306498
853	144.2208916
854	144.2104133
855	144.16799
856	144.153052
857	144.1340417
858	144.1212295
859	144.1047881
860	144.0931261
861	144.0785541
862	144.058168
863	144.0398053
864	144.0168683
865	143.9830633
866	143.9565473
867	143.9389804
868	143.9299697
869	143.9106931
870	143.8984808
871	143.8870248
872	143.8676522
873	143.8442702
874	143.8345553
875	143.8140509
876	143.8036626
877	143.7885747
878	143.769195
879	143.7569272
880	143.7445665
881	143.7259061
882	143.7099016
883	143.69678
884	143.6689985
885	143.6537313
886	143.637108
887	143.6225217
888	143.6099736
889	143.589688
890	143.5718336
891	143.5578897
892	143.5418062
893	143.5232349
894	143.5122931
895	143.486056
896	143.4671836
897	143.4587409
898	143.4344383
899	143.420166
900	143.3984163
901	143.3738908
902	143.363122
903	143.3383213
904	143.3279129
905	143.311822
906	143.3037698
907	143.2893242
908	143.2741065
909	143.2484647
910	143.2300355
911	143.2174527
912	143.2093821
913	143.1969962
914	143.1761633
915	143.1604762
916	143.1410727
917	143.1225839
918	143.1146219
919	143.098911
920	143.0736955
921	143.0531893
922	143.0382111
923	143.0297723
924	143.0136383
925	142.9943802
926	142.9767609
927	142.9572777
928	142.927383
929	142.9165296
930	142.8979765
931	142.8778687
932	142.867814
933	142.8541104
934	142.8414909
935	142.8286208
936	142.8043031
937	142.7957122
938	142.7783848
939	142.7497739
940	142.7375469
941	142.7234062
942	142.7008666
943	142.6873357
944	142.6736997
945	142.6536874
946	142.6348323
947	142.6187595
948	142.6047477
949	142.5985958
950	142.5837276
951	142.5767354
952	142.5680794
953	142.5524066
954	142.5326724
955	142.5114498
956	142.499669
957	142.4809277
958	142.4657378
959	142.4531567
960	142.4307082
961	142.4185123
962	142.3997207
963	142.381171
964	142.3608938
965	142.3492445
966	142.3271218
967	142.3092883
968	142.2959905
969	142.2829494
970	142.271973
971	142.2556044
972	142.2426047
973	142.2337218
974	142.2165809
975	142.1860917
976	142.1765145
977	142.1563251
978	142.1461421
979	142.1356807
980	142.1244536
981	142.1053969
982	142.0965601
983	142.0715614
984	142.0630617
985	142.0501415
986	142.0409736
987	142.0298698
988	142.0146454
989	141.9997628
990	141.9771795
991	141.9611991
992	141.9415977
993	141.9270814
994	141.9211362
995	141.9065626
996	141.8965159
997	141.8811732
998	141.8750564
999	141.8630263
